photo,row,col,gt,pred,conf,threshold,fg_frac,comps,largest_frac,tiny_removed,grid_removed,corner_removed,merged
3bor2sty6q0d1.webp,1,1,1,1,1.0,adaptive,0.1894,15,0.0794,14,0,0,0
3bor2sty6q0d1.webp,1,2,7,7,0.9999,adaptive,0.1354,29,0.0491,28,0,0,0
3bor2sty6q0d1.webp,1,3,5,5,1.0,adaptive,0.1905,32,0.1146,31,0,0,0
3bor2sty6q0d1.webp,1,4,6,6,1.0,adaptive,0.2472,29,0.1267,28,0,0,0
3bor2sty6q0d1.webp,1,5,9,9,0.7149,adaptive,0.1731,31,0.0696,30,0,0,0
3bor2sty6q0d1.webp,1,6,4,4,1.0,adaptive,0.2208,30,0.1063,27,0,0,0
3bor2sty6q0d1.webp,1,7,3,3,1.0,adaptive,0.2084,28,0.1049,26,1,0,0
3bor2sty6q0d1.webp,1,8,2,4,0.9863,adaptive,0.1791,35,0.0691,33,1,0,0
3bor2sty6q0d1.webp,1,9,8,8,0.9993,adaptive,0.1931,27,0.098,26,0,0,0
3bor2sty6q0d1.webp,2,1,4,4,1.0,adaptive,0.1949,22,0.1072,21,0,0,0
3bor2sty6q0d1.webp,2,2,0,0,0.9866,adaptive,0.0973,31,0.0,31,0,0,0
3bor2sty6q0d1.webp,2,3,0,0,0.9866,adaptive,0.0923,47,0.0,47,0,0,0
3bor2sty6q0d1.webp,2,4,0,0,0.9866,adaptive,0.1455,47,0.0,47,0,0,0
3bor2sty6q0d1.webp,2,5,0,0,0.9866,adaptive,0.1187,48,0.0,48,0,0,0
3bor2sty6q0d1.webp,2,6,5,5,0.6295,adaptive,0.2107,57,0.0813,56,0,0,0
3bor2sty6q0d1.webp,2,7,9,9,1.0,adaptive,0.2472,42,0.124,40,1,0,0
3bor2sty6q0d1.webp,2,8,1,4,0.4484,adaptive,0.1641,58,0.0478,57,0,0,0
3bor2sty6q0d1.webp,2,9,6,6,0.9999,adaptive,0.1887,48,0.073,47,0,0,0
3bor2sty6q0d1.webp,3,1,9,4,0.3975,adaptive,0.1568,12,0.0702,10,1,0,0
3bor2sty6q0d1.webp,3,2,6,2,0.4648,adaptive,0.1646,7,0.0663,5,1,0,0
3bor2sty6q0d1.webp,3,3,0,0,0.9866,adaptive,0.1088,26,0.0,25,1,0,0
3bor2sty6q0d1.webp,3,4,1,1,1.0,adaptive,0.2128,16,0.0863,14,1,0,0
3bor2sty6q0d1.webp,3,5,3,3,1.0,adaptive,0.2245,36,0.1049,35,0,0,0
3bor2sty6q0d1.webp,3,6,0,0,0.9866,adaptive,0.1393,54,0.0,54,0,0,0
3bor2sty6q0d1.webp,3,7,4,4,0.9955,adaptive,0.2229,26,0.0737,24,1,0,0
3bor2sty6q0d1.webp,3,8,5,5,0.9962,adaptive,0.1761,39,0.073,38,0,0,0
3bor2sty6q0d1.webp,3,9,7,7,0.9999,adaptive,0.2117,43,0.0911,42,0,0,0
3bor2sty6q0d1.webp,4,1,2,9,0.9474,adaptive,0.1377,14,0.0732,13,0,0,0
3bor2sty6q0d1.webp,4,2,0,0,0.9866,adaptive,0.0631,14,0.0,14,0,0,0
3bor2sty6q0d1.webp,4,3,4,4,1.0,adaptive,0.1697,16,0.1111,15,0,0,0
