photo,row,col,gt,pred,conf,threshold,fg_frac,comps,largest_frac
3bor2sty6q0d1.webp,1,1,1,1,1.0,adaptive,0.1894,23,0.0794
3bor2sty6q0d1.webp,1,2,7,7,0.9999,adaptive,0.1354,41,0.0491
3bor2sty6q0d1.webp,1,3,5,5,1.0,adaptive,0.1905,34,0.1146
3bor2sty6q0d1.webp,1,4,6,6,1.0,adaptive,0.2472,34,0.1267
3bor2sty6q0d1.webp,1,5,9,9,0.7014,adaptive,0.1731,38,0.0696
3bor2sty6q0d1.webp,1,6,4,4,1.0,adaptive,0.2208,44,0.1063
3bor2sty6q0d1.webp,1,7,3,3,1.0,adaptive,0.2084,29,0.1049
3bor2sty6q0d1.webp,1,8,2,4,0.9887,adaptive,0.1791,48,0.0691
3bor2sty6q0d1.webp,1,9,8,8,0.9993,adaptive,0.1931,40,0.098
3bor2sty6q0d1.webp,2,1,4,4,1.0,adaptive,0.1949,25,0.1072
3bor2sty6q0d1.webp,2,2,0,8,0.4828,adaptive,0.0973,32,0.0087
3bor2sty6q0d1.webp,2,3,0,0,0.9866,adaptive,0.0923,49,0.0046
3bor2sty6q0d1.webp,2,4,0,5,0.3972,adaptive,0.1455,50,0.0298
3bor2sty6q0d1.webp,2,5,0,6,0.4561,adaptive,0.1187,60,0.0064
3bor2sty6q0d1.webp,2,6,5,5,0.9885,adaptive,0.2107,58,0.0879
3bor2sty6q0d1.webp,2,7,9,9,1.0,adaptive,0.2472,47,0.124
3bor2sty6q0d1.webp,2,8,1,4,0.5164,adaptive,0.1641,65,0.0478
3bor2sty6q0d1.webp,2,9,6,6,0.9998,adaptive,0.1887,56,0.073
3bor2sty6q0d1.webp,3,1,9,2,0.5427,adaptive,0.1568,18,0.0702
3bor2sty6q0d1.webp,3,2,6,6,0.7198,adaptive,0.1646,8,0.0686
3bor2sty6q0d1.webp,3,3,0,1,0.9918,adaptive,0.1088,27,0.0569
3bor2sty6q0d1.webp,3,4,1,1,1.0,adaptive,0.2128,18,0.0863
3bor2sty6q0d1.webp,3,5,3,3,1.0,adaptive,0.2245,36,0.1049
3bor2sty6q0d1.webp,3,6,0,4,0.4151,adaptive,0.1393,64,0.0067
3bor2sty6q0d1.webp,3,7,4,4,0.971,adaptive,0.2229,36,0.0737
3bor2sty6q0d1.webp,3,8,5,5,0.9962,adaptive,0.1761,51,0.073
