photo,row,col,gt,pred,conf,threshold,fg_frac,post_ink_frac,comps,largest_frac,tiny_removed,grid_removed,corner_removed,merged
3bor2sty6q0d1.webp,1,1,1,1,0.9915,adaptive,0.1911,0.0771,8,0.0771,7,0,0,0
3bor2sty6q0d1.webp,1,2,7,7,0.9992,adaptive,0.1312,0.0484,23,0.0484,22,0,0,0
3bor2sty6q0d1.webp,1,3,5,5,0.9977,adaptive,0.2067,0.1112,26,0.1112,25,0,0,0
3bor2sty6q0d1.webp,1,4,6,6,0.7502,adaptive,0.2279,0.123,19,0.123,18,0,0,0
3bor2sty6q0d1.webp,1,5,9,2,0.3403,adaptive,0.1716,0.0665,16,0.0665,15,0,0,0
3bor2sty6q0d1.webp,1,6,4,4,0.9842,adaptive,0.2303,0.1031,29,0.1031,28,0,0,0
3bor2sty6q0d1.webp,1,7,3,3,0.9993,adaptive,0.2045,0.1018,32,0.1018,31,0,0,0
3bor2sty6q0d1.webp,1,8,2,2,0.8096,adaptive,0.1839,0.0681,33,0.0681,32,0,0,0
3bor2sty6q0d1.webp,1,9,8,8,0.8755,adaptive,0.1945,0.0951,19,0.0951,18,0,0,0
3bor2sty6q0d1.webp,2,1,4,4,0.9972,adaptive,0.197,0.1056,10,0.1056,9,0,0,0
3bor2sty6q0d1.webp,2,2,0,0,0.9569,adaptive,0.0976,0.0,27,0.0,27,0,0,0
3bor2sty6q0d1.webp,2,3,0,0,0.9569,adaptive,0.1095,0.0,41,0.0,41,0,0,0
3bor2sty6q0d1.webp,2,4,0,0,0.9569,adaptive,0.1287,0.0,41,0.0,41,0,0,0
3bor2sty6q0d1.webp,2,5,0,0,0.9569,adaptive,0.1146,0.0,32,0.0,32,0,0,0
3bor2sty6q0d1.webp,2,6,5,5,0.6864,adaptive,0.2164,0.076,32,0.076,31,0,0,0
3bor2sty6q0d1.webp,2,7,9,9,0.9925,adaptive,0.237,0.1221,28,0.1221,27,0,0,0
3bor2sty6q0d1.webp,2,8,1,1,0.9572,adaptive,0.1586,0.0478,35,0.0478,34,0,0,0
3bor2sty6q0d1.webp,2,9,6,6,0.7992,adaptive,0.1771,0.0787,34,0.0719,32,0,0,0
3bor2sty6q0d1.webp,3,1,9,7,0.5371,adaptive,0.1591,0.0682,9,0.0682,7,1,0,0
3bor2sty6q0d1.webp,3,2,6,7,0.646,adaptive,0.1597,0.0608,6,0.0608,4,1,0,0
3bor2sty6q0d1.webp,3,3,0,0,0.9569,adaptive,0.1185,0.0,23,0.0,22,1,0,0
3bor2sty6q0d1.webp,3,4,1,1,0.9783,adaptive,0.2,0.0838,15,0.0838,13,1,0,0
3bor2sty6q0d1.webp,3,5,3,3,0.9991,adaptive,0.2155,0.1033,21,0.1033,20,0,0,0
3bor2sty6q0d1.webp,3,6,0,0,0.9569,adaptive,0.1573,0.0,43,0.0,43,0,0,0
3bor2sty6q0d1.webp,3,7,4,5,0.5851,adaptive,0.2156,0.0769,24,0.0715,22,0,0,0
3bor2sty6q0d1.webp,3,8,5,5,0.9919,adaptive,0.1771,0.0719,28,0.0719,27,0,0,0
