photo,row,col,gt,pred,conf,threshold,fg_frac,comps,largest_frac,tiny_removed,grid_removed,corner_removed,merged
3bor2sty6q0d1.webp,1,1,1,1,0.9915,adaptive,0.1894,8,0.0794,7,0,0,0
3bor2sty6q0d1.webp,1,2,7,7,0.9992,adaptive,0.1354,18,0.0491,17,0,0,0
3bor2sty6q0d1.webp,1,3,5,5,0.9977,adaptive,0.1905,26,0.1146,25,0,0,0
3bor2sty6q0d1.webp,1,4,6,6,0.7502,adaptive,0.2472,16,0.1267,15,0,0,0
3bor2sty6q0d1.webp,1,5,9,2,0.3106,adaptive,0.1731,15,0.0666,14,0,0,0
3bor2sty6q0d1.webp,1,6,4,4,0.978,adaptive,0.2208,29,0.1063,28,0,0,0
3bor2sty6q0d1.webp,1,7,3,3,0.9993,adaptive,0.2084,32,0.1049,31,0,0,0
3bor2sty6q0d1.webp,1,8,2,2,0.8257,adaptive,0.1791,38,0.0691,37,0,0,0
3bor2sty6q0d1.webp,1,9,8,8,0.7695,adaptive,0.1931,21,0.098,20,0,0,0
3bor2sty6q0d1.webp,2,1,4,4,0.9962,adaptive,0.1949,8,0.1072,7,0,0,0
3bor2sty6q0d1.webp,2,2,0,0,0.9569,adaptive,0.0973,25,0.0,25,0,0,0
3bor2sty6q0d1.webp,2,3,0,0,0.9569,adaptive,0.0923,43,0.0,43,0,0,0
3bor2sty6q0d1.webp,2,4,0,0,0.9569,adaptive,0.1455,36,0.0,36,0,0,0
3bor2sty6q0d1.webp,2,5,0,0,0.9569,adaptive,0.1187,30,0.0,30,0,0,0
3bor2sty6q0d1.webp,2,6,5,5,0.5775,adaptive,0.2107,29,0.0755,28,0,0,0
3bor2sty6q0d1.webp,2,7,9,9,0.9945,adaptive,0.2472,20,0.124,19,0,0,0
3bor2sty6q0d1.webp,2,8,1,1,0.9344,adaptive,0.1641,31,0.0478,30,0,0,0
3bor2sty6q0d1.webp,2,9,6,6,0.621,adaptive,0.1887,32,0.073,30,0,0,0
3bor2sty6q0d1.webp,3,1,9,7,0.5073,adaptive,0.1568,8,0.0702,7,0,0,0
3bor2sty6q0d1.webp,3,2,6,7,0.6538,adaptive,0.1646,7,0.0627,5,1,0,0
3bor2sty6q0d1.webp,3,3,0,0,0.9569,adaptive,0.1088,23,0.0,22,1,0,0
3bor2sty6q0d1.webp,3,4,1,1,0.8716,adaptive,0.2128,14,0.0863,12,0,0,0
3bor2sty6q0d1.webp,3,5,3,3,0.9991,adaptive,0.2245,19,0.1049,18,0,0,0
3bor2sty6q0d1.webp,3,6,0,0,0.9569,adaptive,0.1393,37,0.0,37,0,0,0
3bor2sty6q0d1.webp,3,7,4,5,0.4793,adaptive,0.2229,23,0.0737,21,0,0,0
3bor2sty6q0d1.webp,3,8,5,5,0.9919,adaptive,0.1761,25,0.073,24,0,0,0
3bor2sty6q0d1.webp,3,9,7,7,0.9987,adaptive,0.2117,33,0.0911,32,0,0,0
3bor2sty6q0d1.webp,4,1,2,4,0.3409,adaptive,0.1377,3,0.073,2,0,0,0
3bor2sty6q0d1.webp,4,2,0,0,0.9569,adaptive,0.0631,13,0.0,13,0,0,0
3bor2sty6q0d1.webp,4,3,4,4,0.9884,adaptive,0.1697,15,0.1088,14,0,0,0
3bor2sty6q0d1.webp,4,4,0,0,0.9569,adaptive,0.115,24,0.0,24,0,0,0
3bor2sty6q0d1.webp,4,5,6,2,0.639,adaptive,0.2039,21,0.0893,19,0,0,0
3bor2sty6q0d1.webp,4,6,1,1,0.9913,adaptive,0.2068,25,0.0847,24,0,0,0
3bor2sty6q0d1.webp,4,7,5,5,0.6486,adaptive,0.2124,24,0.0742,22,1,0,0
3bor2sty6q0d1.webp,4,8,7,7,0.9985,adaptive,0.1977,34,0.0909,33,0,0,0
3bor2sty6q0d1.webp,4,9,9,2,0.3441,adaptive,0.1878,35,0.0824,34,0,0,0
3bor2sty6q0d1.webp,5,1,6,6,0.9781,adaptive,0.1664,2,0.0861,1,0,0,0
3bor2sty6q0d1.webp,5,2,1,1,0.9391,adaptive,0.112,6,0.0425,5,0,0,0
3bor2sty6q0d1.webp,5,3,7,7,0.9584,adaptive,0.1522,17,0.0937,16,0,0,0
3bor2sty6q0d1.webp,5,4,0,0,0.9569,adaptive,0.1219,14,0.0071,13,0,0,0
3bor2sty6q0d1.webp,5,5,5,5,0.9919,adaptive,0.1919,5,0.104,4,0,0,0
3bor2sty6q0d1.webp,5,6,9,9,0.6564,adaptive,0.168,33,0.0643,32,0,0,0
3bor2sty6q0d1.webp,5,7,8,8,0.9912,adaptive,0.2617,20,0.1352,18,1,0,0
3bor2sty6q0d1.webp,5,8,0,0,0.9569,adaptive,0.1322,51,0.0092,50,0,0,0
3bor2sty6q0d1.webp,5,9,2,2,0.9981,adaptive,0.1763,36,0.0693,35,0,0,0
3bor2sty6q0d1.webp,6,1,5,5,0.7652,adaptive,0.2103,5,0.1042,4,0,0,0
3bor2sty6q0d1.webp,6,2,9,9,0.9529,adaptive,0.205,3,0.1327,2,0,0,0
3bor2sty6q0d1.webp,6,3,0,0,0.9569,adaptive,0.0769,7,0.0,7,0,0,0
3bor2sty6q0d1.webp,6,4,2,2,0.9971,adaptive,0.2091,3,0.1123,2,0,0,0
3bor2sty6q0d1.webp,6,5,0,0,0.9569,adaptive,0.1141,26,0.0,26,0,0,0
3bor2sty6q0d1.webp,6,6,0,0,0.9569,adaptive,0.124,29,0.0051,28,0,0,0
3bor2sty6q0d1.webp,6,7,6,6,0.9509,adaptive,0.2507,14,0.1331,12,1,0,0
3bor2sty6q0d1.webp,6,8,0,0,0.9569,adaptive,0.1515,41,0.0069,39,0,0,0
3bor2sty6q0d1.webp,6,9,1,1,0.9745,adaptive,0.1687,42,0.0514,40,0,0,1
3bor2sty6q0d1.webp,7,1,3,3,0.9908,adaptive,0.1761,1,0.1171,0,0,0,0
3bor2sty6q0d1.webp,7,2,2,2,0.602,adaptive,0.1226,2,0.0817,1,0,0,0
3bor2sty6q0d1.webp,7,3,1,1,0.9249,adaptive,0.0657,3,0.039,2,0,0,0
3bor2sty6q0d1.webp,7,4,5,5,0.9883,adaptive,0.1749,4,0.0946,3,0,0,0
3bor2sty6q0d1.webp,7,5,8,8,0.9934,adaptive,0.2176,17,0.1412,16,0,0,0
3bor2sty6q0d1.webp,7,6,6,5,0.7312,adaptive,0.2149,16,0.1348,12,0,0,0
3bor2sty6q0d1.webp,7,7,7,7,0.6368,adaptive,0.1894,18,0.0817,15,1,0,1
3bor2sty6q0d1.webp,7,8,9,2,0.6231,adaptive,0.1912,35,0.0744,31,0,0,1
3bor2sty6q0d1.webp,7,9,4,4,0.9641,adaptive,0.2004,34,0.0771,33,0,0,0
